Jul.Day,YYYY/MM/DD,Wdy,IDR/EUR
2457847,4/3/2017,Mon,14265
2457848,4/4/2017,Tue,14163
2457849,4/5/2017,Wed,14155
2457850,4/6/2017,Thu,14139
2457851,4/7/2017,Fri,14080
2457854,4/10/2017,Mon,14154
2457855,4/11/2017,Tue,14154
2457856,4/12/2017,Wed,14114
2457857,4/13/2017,Thu,14101
2457861,4/17/2017,Mon,14153
2457862,4/18/2017,Tue,14184
2457863,4/19/2017,Wed,14278
2457864,4/20/2017,Thu,14356
2457865,4/21/2017,Fri,14296
2457868,4/24/2017,Mon,14517
2457869,4/25/2017,Tue,14462
2457870,4/26/2017,Wed,14488
2457871,4/27/2017,Thu,14415
2457872,4/28/2017,Fri,14453
2457875,5/1/2017,Mon,14610
2457876,5/2/2017,Tue,14535
2457877,5/3/2017,Wed,14527
2457878,5/4/2017,Thu,14618
2457879,5/5/2017,Fri,14624
2457882,5/8/2017,Mon,14549
2457883,5/9/2017,Tue,14504
2457884,5/10/2017,Wed,14569
2457885,5/11/2017,Thu,14458
2457886,5/12/2017,Fri,14537
2457889,5/15/2017,Mon,14537
2457890,5/16/2017,Tue,14768
2457891,5/17/2017,Wed,14864
2457892,5/18/2017,Thu,14831
2457893,5/19/2017,Fri,14865
2457897,5/23/2017,Tue,14970
2457898,5/24/2017,Wed,14914
2457899,5/25/2017,Thu,14933
2457900,5/26/2017,Fri,14890
2457903,5/29/2017,Mon,14878
2457904,5/30/2017,Tue,14910
2457905,5/31/2017,Wed,15014
2457906,6/1/2017,Thu,14991
2457907,6/2/2017,Fri,15067
2457910,6/5/2017,Mon,15021
2457911,6/6/2017,Tue,15020
2457912,6/7/2017,Wed,15029
2457913,6/8/2017,Thu,14848
2457914,6/9/2017,Fri,14903
2457917,6/12/2017,Mon,14883
2457918,6/13/2017,Tue,14835
2457919,6/14/2017,Wed,15022
2457920,6/15/2017,Thu,14810
2457921,6/16/2017,Fri,14804
2457924,6/19/2017,Mon,14907
2457925,6/20/2017,Tue,14771
2457926,6/21/2017,Wed,14839
2457927,6/22/2017,Thu,14918
2457928,6/23/2017,Fri,14853
2457931,6/26/2017,Mon,14969
2457932,6/27/2017,Tue,15064
2457933,6/28/2017,Wed,15147
2457934,6/29/2017,Thu,15171
2457935,6/30/2017,Fri,15271
2457939,7/4/2017,Tue,15139
2457940,7/5/2017,Wed,15169
2457941,7/6/2017,Thu,15224
2457942,7/7/2017,Fri,15304
2457945,7/10/2017,Mon,15300
2457946,7/11/2017,Tue,15390
2457947,7/12/2017,Wed,15222
2457948,7/13/2017,Thu,15294
2457949,7/14/2017,Fri,15279
2457952,7/17/2017,Mon,15300
2457953,7/18/2017,Tue,15375
2457954,7/19/2017,Wed,15276
2457955,7/20/2017,Thu,15536
2457956,7/21/2017,Fri,15566
2457959,7/24/2017,Mon,15495
2457960,7/25/2017,Tue,15523
2457961,7/26/2017,Wed,15502
2457962,7/27/2017,Thu,15554
2457963,7/28/2017,Fri,15719
2457966,7/31/2017,Mon,15659
2457967,8/1/2017,Tue,15722
2457968,8/2/2017,Wed,15840
2457969,8/3/2017,Thu,15881
2457970,8/4/2017,Fri,15669
2457974,8/8/2017,Tue,15696
2457975,8/9/2017,Wed,15701
2457976,8/10/2017,Thu,15722
2457977,8/11/2017,Fri,15773
2457980,8/14/2017,Mon,15763
2457981,8/15/2017,Tue,15744
2457982,8/16/2017,Wed,15667
2457983,8/17/2017,Thu,15618
2457984,8/18/2017,Fri,15731
2457987,8/21/2017,Mon,15791
2457988,8/22/2017,Tue,15702
2457989,8/23/2017,Wed,15782
2457990,8/24/2017,Thu,15733
2457991,8/25/2017,Fri,15767
2457994,8/28/2017,Mon,15882
2457995,8/29/2017,Tue,15997
2457996,8/30/2017,Wed,15967
2457997,8/31/2017,Thu,15837
2457998,9/1/2017,Fri,15827
2458002,9/5/2017,Tue,15842
2458003,9/6/2017,Wed,15900
2458004,9/7/2017,Thu,16027
2458005,9/8/2017,Fri,15871
2458008,9/11/2017,Mon,15784
2458009,9/12/2017,Tue,15802
2458010,9/13/2017,Wed,15779
2458011,9/14/2017,Thu,15767
2458012,9/15/2017,Fri,15830
2458015,9/18/2017,Mon,15892
2458016,9/19/2017,Tue,15991
2458017,9/20/2017,Wed,15975
2458018,9/21/2017,Thu,15826
2458019,9/22/2017,Fri,15838
2458022,9/25/2017,Mon,15736
2458023,9/26/2017,Tue,15848
2458024,9/27/2017,Wed,15845
2458025,9/28/2017,Thu,15948
2458026,9/29/2017,Fri,15852
2458029,10/2/2017,Mon,15964
2458030,10/3/2017,Tue,15969
2458031,10/4/2017,Wed,15783
2458032,10/5/2017,Thu,15805
2458033,10/6/2017,Fri,15814
2458037,10/10/2017,Tue,15865
2458038,10/11/2017,Wed,16094
2458039,10/12/2017,Thu,16054
2458040,10/13/2017,Fri,16065
2458043,10/16/2017,Mon,15901
2458044,10/17/2017,Tue,15862
2458045,10/18/2017,Wed,15987
2458046,10/19/2017,Thu,16055
2458047,10/20/2017,Fri,15970
2458050,10/23/2017,Mon,15968
2458051,10/24/2017,Tue,15852
